Algorithm: Kruskal's MST

MST edges:
17 5121 1
37 5596 1
47 48 1
176 177 1
205 1470 1
352 353 1
363 364 1
553 554 1
634 635 1
635 636 1
682 683 1
727 728 1
920 7708 1
944 945 1
1098 1382 1
1135 2073 1
1229 1230 1
1240 1241 1
1301 1302 1
1320 1321 1
1332 1333 1
1380 6371 1
1436 1437 1
1745 1746 1
1756 1757 1
1762 1763 1
1771 1772 1
2044 2045 1
2067 2068 1
2126 2127 1
2177 2178 1
2223 2224 1
2229 2230 1
2275 2276 1
2409 2410 1
2706 2707 1
2721 4744 1
2735 2736 1
2820 2821 1
2874 2875 1
2933 9469 1
2981 2982 1
3045 3046 1
3101 3102 1
3170 3171 1
3216 3217 1
3265 6399 1
3318 3319 1
3325 7539 1
3403 5513 1
3514 3515 1
3584 3585 1
3699 3700 1
3783 3784 1
3832 3833 1
3967 3968 1
3985 3986 1
4018 6042 1
4462 4463 1
4464 4465 1
4483 4484 1
4508 4509 1
4542 4543 1
4556 4557 1
4559 4560 1
4761 4762 1
4807 4808 1
4927 4928 1
5043 5044 1
5155 5156 1
5230 7112 1
5253 8972 1
5535 5536 1
5552 5553 1
5577 5578 1
5656 5657 1
5810 5811 1
5876 5877 1
5894 5895 1
6042 7875 1
6091 6092 1
6097 6098 1
6235 6236 1
6283 6284 1
6301 6302 1
6374 8776 1
6589 6590 1
6659 6660 1
6697 6698 1
6723 6724 1
6755 6756 1
6914 6915 1
7014 7015 1
7146 7147 1
7201 7202 1
7302 7303 1
7396 7397 1
7524 7525 1
7622 7623 1
7677 7678 1
7678 7679 1
7823 7824 1
7897 7898 1
7939 7940 1
8060 8061 1
8172 8595 1
8237 8238 1
8281 8282 1
8288 8289 1
8304 8305 1
8547 8548 1
8607 8608 1
8690 8691 1
8719 8720 1
8813 8814 1
8969 8970 1
9036 9037 1
9039 9040 1
9141 9142 1
9442 9443 1
9510 9511 1
9556 9557 1
9652 9653 1
9738 9739 1
9901 9902 1
9952 9953 1
4516 4517 2
507 508 2
2144 9572 2
2172 8194 2
4561 4562 2
4582 4583 2
507 7329 2
4774 4792 2
1198 7751 2
1199 1200 2
5003 5004 2
5035 5523 2
2230 2231 2
5071 5072 2
260 5000 2
5185 9656 2
1229 6780 2
5238 5239 2
